Date,Name,Nationality,Cause of death,Mountain
23/12/1988,Ang Lhakpa,Nepal,Cerebral thrombosis,Mount Everest
10/05/1989,Dimitar Ilievski-Murato,Yugoslavia,Fall,Mount Everest
16/05/1989,Phu Dorje,Nepal,Fall,Mount Everest
27/05/1989,Mirosław Dąsal,Poland,Avalanche,Mount Everest
27/05/1989,Mirosław Gardzielewski,Poland,Avalanche,Mount Everest
27/05/1989,Andrzej Heinrich,Poland,Avalanche,Mount Everest
27/05/1989,Wacław Otręba,Poland,Avalanche,Mount Everest
28/05/1989,Eugeniusz Chrobak,Poland,Avalanche injuries,Mount Everest
12/12/1989,Ang Pinjo,Nepal,"Altitude sickness, heart attack",Mount Everest
14/09/1990,Rafael Gómez-Menor,Spain,Avalanche,Mount Everest
14/09/1990,Ang Sona,Nepal,Avalanche,Mount Everest
14/09/1990,Badri Nath,Nepal,Avalanche,Mount Everest
07/10/1990,Ham Sang-hun,South Korea,Disappearance (likely accidental death during climb),Mount Everest
03/05/1991,Rüdiger Lang,Germany,Exposure,Mount Everest
27/05/1991,Junichi Futagami,Japan,Fall,Mount Everest
02/05/1992,Deepak Kulkarni,India,Exposure,Mount Everest
02/05/1992,Raymond Jacob,India,Exposure,Mount Everest
11/05/1992,Subba Singh,Nepal,Heart attack,Mount Everest
23/05/1992,Sher Singh,India,Fall,Mount Everest
23/05/1992,Manabu Hoshi,Japan,Disappearance (likely accidental death during climb),Mount Everest
15/01/1993,Ang Tshering,Nepal,Fall,Mount Everest
23/04/1993,Pasang Lhamu Sherpa,Nepal,Disappearance (likely accidental death during climb),Mount Everest
23/04/1993,Sonam Tshering,Nepal,Disappearance (likely accidental death during climb),Mount Everest
10/05/1993,Lobsang Tshering Bhutia,Nepal,Fall,Mount Everest
16/05/1993,Nam Won-woo,South Korea,Fall,Mount Everest
17/05/1993,A Jin-seob,South Korea,Fall,Mount Everest
05/10/1993,Karl Henize,United States,HAPE,Mount Everest
07/10/1993,Antonio Miranda,Spain,Fall,Mount Everest
06/04/1994,Prem Thapa,Nepal,Cerebral oedema,Mount Everest
09/05/1994,Shih Fang-Fang 'Norman',Taiwan,Exhaustion and/or exposure,Mount Everest
18/05/1994,Giuseppe Vigani,Italy,Fall,Mount Everest
27/05/1994,Mike Rheinberger,Australia,"150m fall. He showed signs of exhaustion, dehydration, cerebral oedema, retinal hemorrhages and possible blood clots in his upper legs.",Mount Everest
12/09/1994,Mingma Norbu,Nepal,Avalanche,Mount Everest
06/05/1995,Kami Rita,Nepal,Fall,Mount Everest
10/09/1995,Lhakpa Nuru,Nepal,,Mount Everest
14/10/1995,Zangbu,Nepal,Fall,Mount Everest
09/05/1996,Chen Yu-Nan,Taiwan,Injuries from a fall,Mount Everest
11/05/1996,Scott Fischer,United States,"Suspected HACE (high-altitude cerebral edema), exhaustion, frostbite and exposure.",Mount Everest
11/05/1996,Rob Hall,New Zealand,Exposure,Mount Everest
11/05/1996,Doug Hansen,United States,Exposure,Mount Everest
11/05/1996,Andrew Harris,New Zealand,Disappearance (likely accidental death during climb),Mount Everest
11/05/1996,Yasuko Namba,Japan,Exposure,Mount Everest
11/05/1996,Dorje Morup,India,Exposure,Mount Everest
11/05/1996,Tsewang Paljor,India,Exposure,Mount Everest
11/05/1996,Tsewang Samanla,India,Exposure,Mount Everest
19/05/1996,Reinhard Wlasich,Austria,Altitude sickness,Mount Everest
25/05/1996,Bruce Herrod,United Kingdom,Rope accident,Mount Everest
06/06/1996,Ngawang Topche,Nepal,Lapsed into coma on 23 Apr 1996; later died in hospital,Mount Everest
25/09/1996,Yves Bouchon,France,Avalanche,Mount Everest
25/09/1996,Lopsang Jangbu,Nepal,Avalanche,Mount Everest
25/09/1996,Dawa,Nepal,Avalanche,Mount Everest
23/04/1997,Malcolm Duff,United Kingdom,Heart attack (at Base camp),Mount Everest
06/05/1997,Nima Rinzi,United Kingdom,Fall,Mount Everest
07/05/1997,Aleksandr Torochin,Russia,Fall,Mount Everest
07/05/1997,Ivan Plotnikov,Russia,Exhaustion and/or exposure,Mount Everest
07/05/1997,Nikolai Chevtchenko,Russia,Exhaustion and/or exposure,Mount Everest
07/05/1997,Mingma,Nepal,Fall,Mount Everest
08/05/1997,Peter Andreas Kowalzik,Germany,Disappearance (likely accidental death during climb),Mount Everest
08/09/1997,Tenzing Nuru,Nepal,Disappearance (likely accidental death during climb),Mount Everest
08/09/1997,Choi Byong-soo,South Korea,Avalanche,Mount Everest
24/05/1998,Sergei Arsentiev,United States,100m fall,Mount Everest
24/05/1998,Francys Arsentiev,United States,Exposure and/or cerebral oedema,Mount Everest
25/05/1998,Mark Jennings,United Kingdom,Exhaustion,Mount Everest
26/05/1998,Roger Buick,New Zealand,Exhaustion,Mount Everest
24/07/1998,Shahid Abdul Khader,India,Died due to fall,Mount Everest
08/05/1999,Vasyl Kopytko,Ukraine,Exposure,Mount Everest
13/05/1999,Michael Matthews,United Kingdom,Disappearance (likely accidental death during descent),Mount Everest
18/05/1999,Tadeusz Kudelski,Poland,Fall,Mount Everest
18/05/1999,Pascal Debrouwer,Belgium,Fall,Mount Everest
20/05/2000,Jeppe Stoltz,Denmark,Fall,Mount Everest
21/05/2000,Yan Genghua,China,Disappeared after reaching the north summit likely accidental death during descent,Mount Everest
29/04/2001,Babu Chiri Sherpa,Nepal,Fall,Mount Everest
23/05/2001,Peter Ganner,Austria,Fall,Mount Everest
24/05/2001,Mark Auricht,Australia,Cerebral oedema,Mount Everest
24/05/2001,Aleksei Nikiforov,Russia,"Pre-existing illness exacerbated by freezing conditions, altitude",Mount Everest
17/10/2001,Sándor Gárdos,Hungary,Fall,Mount Everest
30/04/2002,Peter Legate,United Kingdom,Fall into a crevasse,Mount Everest
17/05/2002,Zoran Miletić,FR Yugoslavia,Exact cause and date of death unknown,Mount Everest
08/09/2002,Marco Siffredi,France,Snowboarding accident,Mount Everest
27/05/2003,Bhim Bahadur Gurung,Nepal,Fall into a crevasse,Mount Everest
25/05/2003,Jan Krzysztof Liszewski,Poland,Fall,Mount Everest
08/05/2003,Arnaud Saulnier,France,Sickness in tent,Mount Everest
24/05/2003,Karma Gyalzen Sherpa,Nepal,Altitude sickness,Mount Everest
18/05/2004,Joon-ho Baek,South Korea,Exposure,Mount Everest
18/05/2004,Min Jang,South Korea,Exposure,Mount Everest
18/05/2004,Mu-taek Park,South Korea,Exposure,Mount Everest
18/05/2004,Nils Antezana,United States Bolivia,Exposure,Mount Everest
20/05/2004,Hristo Ganchev Hristov,Bulgaria,Exposure,Mount Everest
20/05/2004,Shoko Ota,Japan,Exposure,Mount Everest
23/05/2004,Mariana Prodanova Maslarova,Bulgaria,Exposure,Mount Everest
28/04/2005,Sean Egan,Canada,Heart attack,Mount Everest
02/05/2005,Michael Corey O'Brien[119],United States,Fall into a crevasse,Mount Everest
21/05/2005,Marko Lihteneker,Slovenia,Oxygen problems which resulted in fall,Mount Everest
30/05/2005,Sirigereshiva Shankarappa Chaitanya,India,Exposure,Mount Everest
04/06/2005,Dieter Kramer,Germany,Exposure,Mount Everest
05/06/2005,Robert William Milne,United Kingdom,Organ failure due to freezing conditions,Mount Everest
07/04/2006,Tuk Bahadur Thapa Magar Sherpa,Nepal,Altitude,Mount Everest
21/04/2006,Ang Phinjo Sherpa,Nepal,Avalanche,Mount Everest
21/04/2006,Lhakpa Tseri,Nepal,Avalanche,Mount Everest
21/04/2006,Dawa Temba,Nepal,Avalanche,Mount Everest
17/05/2006,Jacques-Hugues Letrange,France,Exhaustion,Mount Everest
14/05/2006,Srikrishna,India,Fall,Mount Everest
15/05/2006,David Sharp,United Kingdom,Exposure and/or exhaustion,Mount Everest
16/05/2006,Tomas Olsson,Sweden,Fall,Mount Everest
19/05/2006,Vitor Negrete,Brazil,Exposure and/or exhaustion,Mount Everest
22/05/2006,Igor Plyushkin,Russia,Altitude sickness,Mount Everest
25/05/2006,Thomas Weber,Germany,Altitude sickness,Mount Everest
26/04/2007,Dawa Sherpa,Nepal,,Mount Everest
17/05/2007,Shinichi Ishii,Japan,,Mount Everest
17/05/2007,Libor Kozák,Czech Republic,,Mount Everest
16/05/2007,Yoshitomi Okura,Japan,Altitude sickness,Mount Everest
17/05/2007,Maurizio Pierangelo,Italy,Disappearance,Mount Everest
17/05/2007,Oh Hee-joon,South Korea,,Mount Everest
17/05/2007,Lee Hyun-jo,South Korea,Avalanche,Mount Everest
22/05/2008,Uwe Gianni Goltz,Switzerland,Exhaustion,Mount Everest
07/05/2009,Lhakpa Nuru,Nepal,Avalanche,Mount Everest
18/05/2009,Věslav Chrzaszcz,Czech Republic,Heart attack,Mount Everest
19/05/2009,Wenhong Wu,China,Altitude sickness,Mount Everest
21/05/2009,Frank Ziebarth,Canada,Hypothermia and lack of oxygen,Mount Everest
26/04/2010,László Várkonyi,Hungary,Avalanche crevasse fall,Mount Everest
19/05/2010,Tom Jørgensen,Denmark,HACE,Mount Everest
26/05/2010,Peter Kinloch,United Kingdom,Exhaustion,Mount Everest
01/05/2011,Rick Hitch,United States,Heart attack,Mount Everest
09/05/2011,Shailendra Kumar Upadhyaya,Nepal,Altitude sickness,Mount Everest
12/05/2011,Takashi Ozaki,Japan,Altitude sickness,Mount Everest
21/05/2011,John Delaney,Ireland,Altitude sickness,Mount Everest
15/09/2011,Hiroaki Kino,Japan,Cerebral apoplexy,Mount Everest
05/04/2012,Dawa Tenzing,Nepal,Stroke (CVA),Mount Everest
19/04/2012,Karsang Namgyal Sherpa,Nepal,Altitude sickness,Mount Everest
20/04/2012,Ramesh Gulve,India,Stroke,Mount Everest
21/04/2012,Namgyal Tshering Sherpa,Nepal,Fall into a crevasse,Mount Everest
19/05/2012,Shriya Shah-Klorfine,Canada,Exhaustion,Mount Everest
19/05/2012,Eberhard Schaaf,Germany,Cerebral oedema,Mount Everest
19/05/2012,Song Won-bin,South Korea,Fall,Mount Everest
20/05/2012,Ha Wenyi,China,Suspected altitude sickness,Mount Everest
20/05/2012,Juan José Polo Carbayo,Spain,Exhaustion,Mount Everest
20/05/2012,Milan Sedláček,Czech,Disappearance (likely accidental death during descent),Mount Everest
20/05/2012,Ralf D. Arnold,Germany,Exhaustion and related complications after breaking leg at Second Step,Mount Everest
07/04/2013,Mingma Sherpa,Nepal,Falling into a crevasse,Mount Everest
05/05/2013,DaRita Sherpa,Nepal,Suspected cardiac arrest,Mount Everest
05/05/2013,Sergey Ponomarev,Russia,Suspected cardiac arrest,Mount Everest
07/05/2013,Lobsang Sherpa,Nepal,Fall,Mount Everest
15/05/2013,Alexey Bolotov,Russia,Fall,Mount Everest
17/05/2013,Namgyal Sherpa,Nepal,,Mount Everest
21/05/2013,Seo Sung-ho,South Korea,Suspected altitude sickness,Mount Everest
21/05/2013,Sajal Khaled (Mohammed Khaled Hossain),Bangladesh,Suspected altitude sickness,Mount Everest
22/05/2013,Unknown climber,Nepal,Suspected altitude sickness,Mount Everest
02/04/2014,Mingma Tenzing Sherpa,Nepal,HAPE,Mount Everest
18/04/2014,Mingma Nuru Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Dorji Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Ang Tshiri Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Nima Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Tenzing Chottar Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Phurba Ongyal Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Lapka Tenjing Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Chhiring Ongchu Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Dorjee Khatri,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Then Dorjee Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Phur Temba Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Pasang Karma Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Ankaji Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,PemTenji Sherpa,Nepal,2014 Mount Everest Avalanche,Mount Everest
18/04/2014,Aash Bahadur Gurung,Nepal,2014 Mount Everest Avalanche,Mount Everest
25/04/2015,Daniel Paul Fredinburg,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Marisa Eve Girawong,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Thomas Ely Taplin,United States,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Pemba Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Dawa Tsering Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Maila (Milan) Rai,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Chhimi Dawa Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Pema Yishi (Hissi) Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Pasang Temba Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Krishna Kumar Rai,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Tenzing (Tengien) Bhote,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Renu Fotedar,Australia  India,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Lhakpa Chhiring Sherpa,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Vinh B Truong,United States  Vietnam,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Shiva Kumar Shrestha,Nepal,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
25/04/2015,Unnamed,,Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
01/05/2015,Jangbu Sherpa,Nepal,Died in Kathmandu due to injuries sustained in the Base Camp avalanche following the April 2015 Nepal earthquake,Mount Everest
11/05/2016,Charles MacAdams,Canada,Cardiac event,Mount Everest
19/05/2016,Ang Phurba Sherpa,Nepal,Fall,Mount Everest
21/05/2016,Eric Arnold,Netherlands,Altitude sickness,Mount Everest
22/05/2016,Marisa Elizabeth Strydom,Australia  South Africa,"Snow blindness, stroke",Mount Everest
22/05/2016,Subhash Pal,India,Altitude sickness,Mount Everest
22/05/2016,Paresh Chandra Nath,India,Exposure,Mount Everest
22/05/2016,Goutam Ghosh,India,Exposure,Mount Everest
05/05/2017,Min Bahadur Sherchan,Nepal,Heart Attack,Mount Everest
20/05/2017,Roland Yearwood,United States,Altitude sickness,Mount Everest
21/05/2017,Vladimír Štrba,Slovakia,Altitude sickness,Mount Everest
21/05/2017,Francesco Enrico Marchetti,Australia,Altitude sickness,Mount Everest
21/05/2017,Ravi Kumar,India,Fall into a 200m crevasse,Mount Everest
14/05/2018,Lam Babu Sherpa,Nepal,Disappearance (reportedly suffered from snow blindness),Mount Everest
18/05/2018,Pasang Norbu Sherpa,Nepal,Stroke,Mount Everest
20/05/2018,Gjeorgi Petkov,North Macedonia,Cardiac arrest,Mount Everest
21/05/2018,Nobukazu Kuriki,Japan,"Hypothermia, had previously reported ""persistent cough and pain"" during attempt",Mount Everest
21/05/2018,Damai Sarki Sherpa,Nepal,"Fall into a crevasse, was rescued but died of head injury",Mount Everest
16/05/2019,Séamus (Shay) Lawless,Ireland,Presumed dead after fall,Mount Everest
17/05/2019,Ravi Thakar,India,Altitude sickness,Mount Everest
22/05/2019,Donald Cash,United States,Altitude sickness,Mount Everest
23/05/2019,Nihal Bagwan,India,Exhaustion on descent,Mount Everest
23/05/2019,Ernst Landgraf,Austria,Exhaustion on descent,Mount Everest
23/05/2019,Anjali S Kulkarni,India,Exhaustion on descent,Mount Everest
23/05/2019,Kalpana Dash,India,Exhaustion on descent,Mount Everest
24/05/2019,Kevin Hynes,Ireland,Altitude sickness,Mount Everest
24/05/2019,Dhruba Bista,Nepal,Exhaustion and altitude sickness,Mount Everest
25/05/2019,Robin Haynes Fisher,United Kingdom,Exhaustion during descent,Mount Everest
27/05/2019,Christopher Jon Kulish,United States,Cardiac event during descent,Mount Everest
12/05/2021,Puwei Liu,United States,"Exhaustion, snow blindness",Mount Everest
12/05/2021,Abdul Waraich,Switzerland,Exhaustion,Mount Everest
18/05/2021,Pemba Tashi Sherpa,Nepal,Fall into a crevasse,Mount Everest
23/05/2021,Wong Dorchi Sherpa,Nepal,Fall into a crevasse,Mount Everest
14/04/2022,Ngima Tenji Sherpa,Nepal,Exhaustion and collapse,Mount Everest
07/05/2022,Pavel Kostrikin,Russia,"Altitude sickness at Camp II, returned to Camp I",Mount Everest
12/05/2022,Dipak Mahat,Nepal,Altitude sickness and excessive bleeding,Mount Everest
12/04/2023,Lakpa Rita Sherpa,Nepal,Serac Collapse,Mount Everest
12/04/2023,Pemba Tenzing Sherpa,Nepal,Serac Collapse,Mount Everest
12/04/2023,Da Chhiree Sherpa,Nepal,Serac Collapse,Mount Everest
01/05/2023,Jonathan Sugarman,United States,Illness,Mount Everest
16/05/2023,Phurba Sherpa,Nepal,Illness,Mount Everest
17/05/2023,Victor Brinza,Moldova,Illness,Mount Everest
18/05/2023,Suzanne Leopoldina Jesus,India,Illness,Mount Everest
18/05/2023,Xuebin Chen,China,Fall,Mount Everest
19/05/2023,Ag Askandar Bin Ampuan Yaacub,Malaysia,Illness,Mount Everest
19/05/2023,Shrinivas Sainis Dattatraya,Singapore,High Altitude Cerebral Edema (HACE),Mount Everest
20/05/2023,Muhammad Hawari Bin Hashim,Malaysia,Disappeared[246],Mount Everest
21/05/2023,Jason Bernard Kennison,Australia,Illness,Mount Everest
21/05/2023,Ang Kami Sherpa,Nepal,Fall,Mount Everest
25/05/2023,Szilárd Suhajda [hu],Hungary,Disappeared (reportedly suffered from HACE),Mount Everest
25/05/2023,Ranjit Kumar Shah,Nepal,Disappeared,Mount Everest
26/05/2023,Pieter Swart,Canada,Respiratory Event,Mount Everest
03/06/2023,Lhakpa Nuru Sherpa,Nepal,"Suffered from HAPE, later died in hospital due to cardiopulmonary arrest",Mount Everest
